,N,d,Method,GT,rho,random_state,Pred,Time
1325,200,2,KSG,0.2876820724517809,-0.5,44,0.09702716543537038,0.0026400089263916016
1326,200,2,CCMI,0.2876820724517809,-0.5,44,0.017618725076317787,7.394815921783447
1327,200,2,LMI,0.2876820724517809,-0.5,45,0.2405033405409436,0.6799612045288086
1328,200,2,KSG,0.2876820724517809,-0.5,37,0.1595509637069562,0.002660036087036133
1329,200,2,CCMI,0.2876820724517809,-0.5,37,0.023089466616511345,7.908241271972656
1330,200,2,LMI,0.2876820724517809,-0.5,38,0.21602073141340636,2.2667999267578125
1331,200,2,KSG,0.2876820724517809,-0.5,38,0.12481310499466047,0.0050203800201416016
1332,200,2,CCMI,0.2876820724517809,-0.5,38,0.005583303049206734,8.013692378997803
1333,200,2,LMI,0.2876820724517809,-0.5,39,0.2599417053956522,3.1973018646240234
1334,200,2,KSG,0.2876820724517809,-0.5,39,0.05768514818260628,0.005753755569458008
1335,200,2,CCMI,0.2876820724517809,-0.5,39,0.07080131024122238,8.177407026290894
1336,200,2,LMI,0.2876820724517809,-0.5,48,0.25174527927805895,0.8873960971832275
1337,200,2,KSG,0.2876820724517809,-0.5,48,0.19696626535343575,0.003155231475830078
1338,200,2,CCMI,0.2876820724517809,-0.5,48,0.035602930933237076,8.205591917037964
1339,200,2,LMI,0.2876820724517809,-0.5,49,0.22102959787868753,0.9712400436401367
1340,200,2,KSG,0.2876820724517809,-0.5,49,0.15922127230763905,0.003693819046020508
1341,200,2,CCMI,0.2876820724517809,-0.5,49,0.013567809015512466,7.765459775924683
1342,1000,2,LMI,0.2876820724517809,-0.5,0,0.2676185237987274,4.790730953216553
1343,1000,2,KSG,0.2876820724517809,-0.5,0,0.24969579489292382,0.023340702056884766
1344,200,2,KSG,0.2876820724517809,-0.5,45,0.1508884643490077,0.0021457672119140625
1345,200,2,CCMI,0.2876820724517809,-0.5,45,0.024445993825793266,8.651560068130493
1346,200,2,LMI,0.2876820724517809,-0.5,46,0.22866345371667518,1.301774263381958
1347,200,2,KSG,0.2876820724517809,-0.5,46,0.0979692893219476,0.009750127792358398
1348,200,2,CCMI,0.2876820724517809,-0.5,46,0.015387605875730515,7.430462121963501
1349,200,2,LMI,0.2876820724517809,-0.5,47,0.1931970896972512,2.0166380405426025
1350,200,2,KSG,0.2876820724517809,-0.5,47,0.08326961319760862,0.0029449462890625
1351,200,2,CCMI,0.2876820724517809,-0.5,47,0.009510520845651627,8.853415966033936
1352,1000,2,KSG,0.2876820724517809,-0.5,3,0.15735128600589554,0.020905017852783203
1353,1000,2,CCMI,0.2876820724517809,-0.5,3,0.07201098650693893,12.371317148208618
1354,1000,2,LMI,0.2876820724517809,-0.5,4,0.2627984745528539,3.823484182357788
1355,1000,2,KSG,0.2876820724517809,-0.5,4,0.2135033857871277,0.0166780948638916
1356,1000,2,CCMI,0.2876820724517809,-0.5,4,0.1382417529821396,13.362652063369751
1357,1000,2,LMI,0.2876820724517809,-0.5,5,0.2690973343137162,4.451803207397461
1358,1000,2,KSG,0.2876820724517809,-0.5,5,0.17624778132673746,0.02068305015563965
1359,1000,2,CCMI,0.2876820724517809,-0.5,5,0.07727174460887909,12.353736877441406
1360,1000,2,CCMI,0.2876820724517809,-0.5,0,0.10340474545955658,12.278564214706421
1361,1000,2,LMI,0.2876820724517809,-0.5,1,0.2972835218133072,3.653791904449463
1362,1000,2,KSG,0.2876820724517809,-0.5,1,0.19759596744328778,0.019082069396972656
1363,1000,2,CCMI,0.2876820724517809,-0.5,1,0.21170981228351593,13.509221315383911
1364,1000,2,LMI,0.2876820724517809,-0.5,2,0.31872769450456945,2.9386088848114014
1365,1000,2,KSG,0.2876820724517809,-0.5,2,0.26201769127427343,0.020728111267089844
1366,1000,2,CCMI,0.2876820724517809,-0.5,2,0.09542278200387955,12.670999765396118
1367,1000,2,LMI,0.2876820724517809,-0.5,3,0.2787057764701831,3.9115772247314453
1368,1000,2,LMI,0.2876820724517809,-0.5,6,0.29636721693208545,7.9191060066223145
1369,1000,2,KSG,0.2876820724517809,-0.5,6,0.20132209589071415,0.016047000885009766
1370,1000,2,CCMI,0.2876820724517809,-0.5,6,0.15153257548809052,13.007374048233032
1371,1000,2,LMI,0.2876820724517809,-0.5,7,0.28009128938466055,3.5357742309570312
1372,1000,2,KSG,0.2876820724517809,-0.5,7,0.25436264426784294,0.01748204231262207
1373,1000,2,CCMI,0.2876820724517809,-0.5,7,0.10838814824819565,12.62854290008545
1374,1000,2,LMI,0.2876820724517809,-0.5,8,0.2772399922817127,5.411632061004639
1375,1000,2,KSG,0.2876820724517809,-0.5,8,0.1192753207619085,0.02178478240966797
1376,1000,2,LMI,0.2876820724517809,-0.5,14,0.28142678498436025,5.727416038513184
1377,1000,2,KSG,0.2876820724517809,-0.5,14,0.1491532679690425,0.02375006675720215
1378,1000,2,CCMI,0.2876820724517809,-0.5,14,0.2154049575328827,12.563739776611328
1379,1000,2,LMI,0.2876820724517809,-0.5,15,0.28724650156977966,4.47873592376709
1380,1000,2,KSG,0.2876820724517809,-0.5,15,0.19694454110179638,0.02085590362548828
1381,1000,2,CCMI,0.2876820724517809,-0.5,15,0.09764047712087631,12.905776977539062
1382,1000,2,LMI,0.2876820724517809,-0.5,16,0.25420356700741265,3.421482801437378
1383,1000,2,KSG,0.2876820724517809,-0.5,16,0.25057049933523856,0.023055076599121094
1384,1000,2,CCMI,0.2876820724517809,-0.5,8,0.11338883638381958,12.739994049072266
1385,1000,2,LMI,0.2876820724517809,-0.5,9,0.269341961330961,2.811021089553833
1386,1000,2,KSG,0.2876820724517809,-0.5,9,0.24806936062842133,0.015631914138793945
1387,1000,2,CCMI,0.2876820724517809,-0.5,9,0.11817526817321777,12.887950897216797
1388,1000,2,LMI,0.2876820724517809,-0.5,10,0.28327061056480785,8.755075216293335
1389,1000,2,KSG,0.2876820724517809,-0.5,10,0.12993001129125303,0.036078691482543945
1390,1000,2,CCMI,0.2876820724517809,-0.5,10,0.14487990736961365,13.405706882476807
1391,1000,2,LMI,0.2876820724517809,-0.5,11,0.29826528251059536,4.312007904052734
1392,1000,2,KSG,0.2876820724517809,-0.5,11,0.2544384809245618,0.01822686195373535
1393,1000,2,CCMI,0.2876820724517809,-0.5,11,0.14555723965168,12.524603128433228
1394,1000,2,LMI,0.2876820724517809,-0.5,12,0.2899034211149314,3.425546884536743
1395,1000,2,KSG,0.2876820724517809,-0.5,12,0.20322850122275404,0.016512155532836914
1396,1000,2,CCMI,0.2876820724517809,-0.5,12,0.13832703232765198,13.001236915588379
1397,1000,2,LMI,0.2876820724517809,-0.5,13,0.26345159083953773,10.451630115509033
1398,1000,2,KSG,0.2876820724517809,-0.5,13,0.1427769333420209,0.031414031982421875
1399,1000,2,CCMI,0.2876820724517809,-0.5,13,0.19777454435825348,13.061799049377441
1400,1000,2,KSG,0.2876820724517809,-0.5,19,0.22732015697694752,0.047776222229003906
1401,1000,2,CCMI,0.2876820724517809,-0.5,19,0.11314116418361664,13.215202808380127
1402,1000,2,LMI,0.2876820724517809,-0.5,20,0.26756632995421736,2.778688907623291
1403,1000,2,KSG,0.2876820724517809,-0.5,20,0.24529912691949185,0.02124786376953125
1404,1000,2,CCMI,0.2876820724517809,-0.5,20,0.10354818403720856,13.07293176651001
1405,1000,2,LMI,0.2876820724517809,-0.5,21,0.32652403185787227,6.684819221496582
1406,1000,2,KSG,0.2876820724517809,-0.5,21,0.2110012509828162,0.02202010154724121
1407,1000,2,CCMI,0.2876820724517809,-0.5,21,0.2230232208967209,12.94810700416565
1408,1000,2,CCMI,0.2876820724517809,-0.5,16,0.07341257482767105,12.186943054199219
1409,1000,2,LMI,0.2876820724517809,-0.5,17,0.26654484574583803,3.7448041439056396
1410,1000,2,KSG,0.2876820724517809,-0.5,17,0.20137727419306362,0.019784927368164062
1411,1000,2,CCMI,0.2876820724517809,-0.5,17,0.21141134202480316,12.827548742294312
1412,1000,2,LMI,0.2876820724517809,-0.5,18,0.30179634402099104,9.058775186538696
1413,1000,2,KSG,0.2876820724517809,-0.5,18,0.13135934814218675,0.024305105209350586
1414,1000,2,CCMI,0.2876820724517809,-0.5,18,0.18729813396930695,13.200348854064941
1415,1000,2,LMI,0.2876820724517809,-0.5,19,0.26189629174444956,2.174970865249634
1416,1000,2,LMI,0.2876820724517809,-0.5,22,0.27916306593935697,5.119219064712524
1417,1000,2,KSG,0.2876820724517809,-0.5,22,0.2768737809518872,0.0182340145111084
1418,1000,2,CCMI,0.2876820724517809,-0.5,22,0.11382850259542465,13.414031982421875
1419,1000,2,LMI,0.2876820724517809,-0.5,23,0.258697361286337,5.284507751464844
1420,1000,2,KSG,0.2876820724517809,-0.5,23,0.1824727720305067,0.021008014678955078
1421,1000,2,CCMI,0.2876820724517809,-0.5,23,0.21490012109279633,13.115952253341675
1422,1000,2,LMI,0.2876820724517809,-0.5,24,0.2594285070300073,4.526760816574097
1423,1000,2,KSG,0.2876820724517809,-0.5,24,0.24393814901932742,0.03521108627319336
1424,1000,2,KSG,0.2876820724517809,-0.5,27,0.1275086419946686,0.036035776138305664
1425,1000,2,CCMI,0.2876820724517809,-0.5,27,0.0711163803935051,13.744500875473022
1426,1000,2,LMI,0.2876820724517809,-0.5,28,0.31120483326807047,3.3127150535583496
1427,1000,2,KSG,0.2876820724517809,-0.5,28,0.28392189730289263,0.020371198654174805
1428,1000,2,CCMI,0.2876820724517809,-0.5,28,0.0995267704129219,13.109446048736572
1429,1000,2,LMI,0.2876820724517809,-0.5,29,0.27364211233288455,2.6039717197418213
1430,1000,2,KSG,0.2876820724517809,-0.5,29,0.23180903803456843,0.02063465118408203
1431,1000,2,CCMI,0.2876820724517809,-0.5,29,0.08159863948822021,12.753996849060059
1432,1000,2,LMI,0.2876820724517809,-0.5,30,0.26210591369680103,3.244929075241089
1433,1000,2,KSG,0.2876820724517809,-0.5,30,0.2012020637732269,0.016126155853271484
1434,1000,2,CCMI,0.2876820724517809,-0.5,30,0.1109391376376152,13.126009941101074
1435,1000,2,LMI,0.2876820724517809,-0.5,31,0.276072135088221,4.261228084564209
1436,1000,2,KSG,0.2876820724517809,-0.5,31,0.10917975825349557,0.019611835479736328
1437,1000,2,CCMI,0.2876820724517809,-0.5,31,0.14755922555923462,13.054924011230469
1438,1000,2,LMI,0.2876820724517809,-0.5,32,0.2917333853212334,4.126788854598999
1439,1000,2,KSG,0.2876820724517809,-0.5,32,0.20765481608160286,0.0207521915435791
1440,1000,2,CCMI,0.2876820724517809,-0.5,24,0.10656707733869553,12.125130891799927
1441,1000,2,LMI,0.2876820724517809,-0.5,25,0.2866564659464001,4.747587203979492
1442,1000,2,KSG,0.2876820724517809,-0.5,25,0.24665136877225258,0.016205787658691406
1443,1000,2,CCMI,0.2876820724517809,-0.5,25,0.17848119139671326,13.362697124481201
1444,1000,2,LMI,0.2876820724517809,-0.5,26,0.28380175622941983,4.582175970077515
1445,1000,2,KSG,0.2876820724517809,-0.5,26,0.1492808801720179,0.03021383285522461
1446,1000,2,CCMI,0.2876820724517809,-0.5,26,0.1294206827878952,12.865854978561401
1447,1000,2,LMI,0.2876820724517809,-0.5,27,0.2950866805007466,4.663756847381592
1448,1000,2,KSG,0.2876820724517809,-0.5,35,0.22997807133175463,0.02339315414428711
1449,1000,2,CCMI,0.2876820724517809,-0.5,35,0.23932243883609772,12.67579197883606
